group,x,y,prior
data,-49,1.0426989645140865e-15,"N(0, 10)"
data,-48,2.743044884932797e-15,"Uniform(-Inf, Inf)"
data,-48,2.743044884932797e-15,"N(-50, 10)"
data,-48,2.743044884932797e-15,"N(-50, 50)"
data,-48,2.743044884932797e-15,"N(0, 50)"
data,-48,2.743044884932797e-15,"N(0, 10)"
data,-47,7.108082295672182e-15,"Uniform(-Inf, Inf)"
data,-47,7.108082295672182e-15,"N(-50, 10)"
data,-47,7.108082295672182e-15,"N(-50, 50)"
data,-47,7.108082295672182e-15,"N(0, 50)"
data,-47,7.108082295672182e-15,"N(0, 10)"
data,-46,1.8143352647088876e-14,"Uniform(-Inf, Inf)"
data,-46,1.8143352647088876e-14,"N(-50, 10)"
data,-46,1.8143352647088876e-14,"N(-50, 50)"
data,-46,1.8143352647088876e-14,"N(0, 50)"
data,-46,1.8143352647088876e-14,"N(0, 10)"
data,-45,4.561715517597212e-14,"Uniform(-Inf, Inf)"
data,-45,4.561715517597212e-14,"N(-50, 10)"
data,-45,4.561715517597212e-14,"N(-50, 50)"
data,-45,4.561715517597212e-14,"N(0, 50)"
data,-45,4.561715517597212e-14,"N(0, 10)"
data,-44,1.1297553722814833e-13,"Uniform(-Inf, Inf)"
data,-44,1.1297553722814833e-13,"N(-50, 10)"
data,-44,1.1297553722814833e-13,"N(-50, 50)"
data,-44,1.1297553722814833e-13,"N(0, 50)"
data,-44,1.1297553722814833e-13,"N(0, 10)"
data,-43,2.7560442990452125e-13,"Uniform(-Inf, Inf)"
data,-43,2.7560442990452125e-13,"N(-50, 10)"
data,-43,2.7560442990452125e-13,"N(-50, 50)"
data,-43,2.7560442990452125e-13,"N(0, 50)"
data,-43,2.7560442990452125e-13,"N(0, 10)"
data,-42,6.622676385765248e-13,"Uniform(-Inf, Inf)"
data,-42,6.622676385765248e-13,"N(-50, 10)"
data,-42,6.622676385765248e-13,"N(-50, 50)"
data,-42,6.622676385765248e-13,"N(0, 50)"
data,-42,6.622676385765248e-13,"N(0, 10)"
data,-41,1.5675681663415428e-12,"Uniform(-Inf, Inf)"
data,-41,1.5675681663415428e-12,"N(-50, 10)"
data,-41,1.5675681663415428e-12,"N(-50, 50)"
data,-41,1.5675681663415428e-12,"N(0, 50)"
data,-41,1.5675681663415428e-12,"N(0, 10)"
data,-40,3.6548107882477465e-12,"Uniform(-Inf, Inf)"
data,-40,3.6548107882477465e-12,"N(-50, 10)"
data,-40,3.6548107882477465e-12,"N(-50, 50)"
data,-40,3.6548107882477465e-12,"N(0, 50)"
data,-40,3.6548107882477465e-12,"N(0, 10)"
data,-39,8.393612629251692e-12,"Uniform(-Inf, Inf)"
data,-39,8.393612629251692e-12,"N(-50, 10)"
data,-39,8.393612629251692e-12,"N(-50, 50)"
data,-39,8.393612629251692e-12,"N(0, 50)"
data,-39,8.393612629251692e-12,"N(0, 10)"
data,-38,1.8987968732907708e-11,"Uniform(-Inf, Inf)"
data,-38,1.8987968732907708e-11,"N(-50, 10)"
data,-38,1.8987968732907708e-11,"N(-50, 50)"
data,-38,1.8987968732907708e-11,"N(0, 50)"
data,-38,1.8987968732907708e-11,"N(0, 10)"
data,-37,4.231103556211959e-11,"Uniform(-Inf, Inf)"
data,-37,4.231103556211959e-11,"N(-50, 10)"
data,-37,4.231103556211959e-11,"N(-50, 50)"
data,-37,4.231103556211959e-11,"N(0, 50)"
data,-37,4.231103556211959e-11,"N(0, 10)"
data,-36,9.286976852710803e-11,"Uniform(-Inf, Inf)"
data,-36,9.286976852710803e-11,"N(-50, 10)"
data,-36,9.286976852710803e-11,"N(-50, 50)"
